,Start,End
0,2023-11-28 22:16:10.537100,2023-11-28 22:16:10.636392
1,2023-11-28 22:16:14.577591,2023-11-28 22:16:15.458752
2,2023-11-28 22:16:16.051363,2023-11-28 22:16:17.250585
3,2023-11-28 22:16:17.474531,2023-11-28 22:16:17.668385
4,2023-11-28 22:16:17.922535,2023-11-28 22:16:18.820638
5,2023-11-28 22:16:19.077050,2023-11-28 22:16:19.185021
6,2023-11-28 22:16:19.731162,2023-11-28 22:16:20.034153
7,2023-11-28 22:16:22.177584,2023-11-28 22:16:23.027250
8,2023-11-28 22:16:24.467914,2023-11-28 22:16:25.345732
9,2023-11-28 22:16:27.554413,2023-11-28 22:16:28.482593
10,2023-11-28 22:16:29.988471,2023-11-28 22:16:31.043973
11,2023-11-28 22:16:32.517461,2023-11-28 22:16:33.686178
12,2023-11-28 22:16:35.061580,2023-11-28 22:16:36.112080
13,2023-11-28 22:16:37.281590,2023-11-28 22:16:38.210755
14,2023-11-28 22:16:39.362582,2023-11-28 22:16:40.610080
15,2023-11-28 22:16:41.955073,2023-11-28 22:16:43.425410
16,2023-11-28 22:16:43.652956,2023-11-28 22:16:43.795179
17,2023-11-28 22:16:44.337264,2023-11-28 22:16:46.113479
18,2023-11-28 22:16:46.213074,2023-11-28 22:16:46.400003
19,2023-11-28 22:16:46.465897,2023-11-28 22:16:46.608590
20,2023-11-28 22:16:46.800604,2023-11-28 22:16:48.064769
21,2023-11-28 22:16:48.274426,2023-11-28 22:16:48.434475
22,2023-11-28 22:16:49.475457,2023-11-28 22:16:50.592974
